Year,Area_of_Residence,Sex,Age_at_Death,VALUE
2007,Ennis Town,Female,15 - 19 years,1.0
2007,Ennis Town,Female,20 - 24 years,0.0
2007,Ennis Town,Female,25 - 29 years,0.0
2007,Ennis Town,Female,30 - 34 years,0.0
2007,Ennis Town,Female,35 - 39 years,0.0
2007,Ennis Town,Female,40 - 44 years,1.0
2007,Ennis Town,Female,45 - 49 years,2.0
2007,Ennis Town,Female,50 - 54 years,1.0
2007,Ennis Town,Female,55 - 59 years,1.0
2007,Ennis Town,Female,60 - 64 years,4.0
2007,Ennis Town,Female,65 - 69 years,4.0
2007,Ennis Town,Female,70 - 74 years,4.0
2007,Ennis Town,Female,75 - 79 years,14.0
2007,Ennis Town,Female,80 - 84 years,14.0
2007,Ennis Town,Female,85 years and over,17.0
2007,Ennis Town,Female,All ages,64.0
2007,Kilrush Town,Both sexes,Under 1 year,0.0
2007,Kilrush Town,Both sexes,1 - 4 years,0.0
2007,Kilrush Town,Both sexes,5 - 9 years,0.0
2007,Kilrush Town,Both sexes,10 - 14 years,0.0
2007,Kilrush Town,Both sexes,15 - 19 years,1.0
2007,Kilrush Town,Both sexes,20 - 24 years,0.0
2007,Kilrush Town,Both sexes,25 - 29 years,0.0
2007,Kilrush Town,Both sexes,30 - 34 years,0.0
2007,Kilrush Town,Both sexes,35 - 39 years,0.0
2007,Kilrush Town,Both sexes,40 - 44 years,0.0
2007,Kilrush Town,Both sexes,45 - 49 years,3.0
2007,Kilrush Town,Both sexes,50 - 54 years,2.0
2007,Kilrush Town,Both sexes,55 - 59 years,1.0
2007,Kilrush Town,Both sexes,60 - 64 years,3.0
2007,Kilrush Town,Both sexes,65 - 69 years,3.0
2007,Kilrush Town,Both sexes,70 - 74 years,3.0
2007,Kilrush Town,Both sexes,75 - 79 years,8.0
2007,Kilrush Town,Both sexes,80 - 84 years,11.0
2007,Kilrush Town,Both sexes,85 years and over,14.0
2007,Kilrush Town,Both sexes,All ages,49.0
2007,Kilrush Town,Male,Under 1 year,0.0
2007,Kilrush Town,Male,1 - 4 years,0.0
2007,Kilrush Town,Male,5 - 9 years,0.0
2007,Kilrush Town,Male,10 - 14 years,0.0
2007,Kilrush Town,Male,15 - 19 years,1.0
2007,Kilrush Town,Male,20 - 24 years,0.0
2007,Kilrush Town,Male,25 - 29 years,0.0
2007,Kilrush Town,Male,30 - 34 years,0.0
2007,Kilrush Town,Male,35 - 39 years,0.0
2007,Kilrush Town,Male,40 - 44 years,0.0
2007,Kilrush Town,Male,45 - 49 years,1.0
2007,Kilrush Town,Male,50 - 54 years,2.0
2007,Kilrush Town,Male,55 - 59 years,0.0
2007,Kilrush Town,Male,60 - 64 years,2.0
2007,Kilrush Town,Male,65 - 69 years,3.0
2007,Kilrush Town,Male,70 - 74 years,2.0
2007,Kilrush Town,Male,75 - 79 years,5.0
2007,Kilrush Town,Male,80 - 84 years,3.0
2007,Kilrush Town,Male,85 years and over,2.0
2007,Kilrush Town,Male,All ages,21.0
2007,Kilrush Town,Female,Under 1 year,0.0
2007,Kilrush Town,Female,1 - 4 years,0.0
2007,Kilrush Town,Female,5 - 9 years,0.0
2007,Kilrush Town,Female,10 - 14 years,0.0
2007,Kilrush Town,Female,15 - 19 years,0.0
2007,Kilrush Town,Female,20 - 24 years,0.0
2007,Kilrush Town,Female,25 - 29 years,0.0
2007,Kilrush Town,Female,30 - 34 years,0.0
2007,Kilrush Town,Female,35 - 39 years,0.0
2007,Kilrush Town,Female,40 - 44 years,0.0
2007,Kilrush Town,Female,45 - 49 years,2.0
2007,Kilrush Town,Female,50 - 54 years,0.0
2007,Kilrush Town,Female,55 - 59 years,1.0
2007,Kilrush Town,Female,60 - 64 years,1.0
2007,Kilrush Town,Female,65 - 69 years,0.0
2007,Kilrush Town,Female,70 - 74 years,1.0
2007,Kilrush Town,Female,75 - 79 years,3.0
2007,Kilrush Town,Female,80 - 84 years,8.0
2007,Kilrush Town,Female,85 years and over,12.0
2007,Kilrush Town,Female,All ages,28.0
2007,Rest of Co. Clare,Both sexes,Under 1 year,6.0
2007,Rest of Co. Clare,Both sexes,1 - 4 years,1.0
2007,Rest of Co. Clare,Both sexes,5 - 9 years,0.0
2007,Rest of Co. Clare,Both sexes,10 - 14 years,0.0
2007,Rest of Co. Clare,Both sexes,15 - 19 years,3.0
2007,Rest of Co. Clare,Both sexes,20 - 24 years,7.0
2007,Rest of Co. Clare,Both sexes,25 - 29 years,4.0
2007,Rest of Co. Clare,Both sexes,30 - 34 years,5.0
2007,Rest of Co. Clare,Both sexes,35 - 39 years,5.0
2007,Rest of Co. Clare,Both sexes,40 - 44 years,4.0
2007,Rest of Co. Clare,Both sexes,45 - 49 years,12.0
2007,Rest of Co. Clare,Both sexes,50 - 54 years,12.0
2007,Rest of Co. Clare,Both sexes,55 - 59 years,31.0
2007,Rest of Co. Clare,Both sexes,60 - 64 years,43.0
2007,Rest of Co. Clare,Both sexes,65 - 69 years,39.0
2007,Rest of Co. Clare,Both sexes,70 - 74 years,50.0
2007,Rest of Co. Clare,Both sexes,75 - 79 years,81.0
2007,Rest of Co. Clare,Both sexes,80 - 84 years,100.0
2007,Rest of Co. Clare,Both sexes,85 years and over,181.0
2007,Rest of Co. Clare,Both sexes,All ages,584.0
2007,Rest of Co. Clare,Male,Under 1 year,3.0
2007,Rest of Co. Clare,Male,1 - 4 years,1.0
2007,Rest of Co. Clare,Male,5 - 9 years,0.0
2007,Rest of Co. Clare,Male,10 - 14 years,0.0
2007,Rest of Co. Clare,Male,15 - 19 years,3.0
2007,Rest of Co. Clare,Male,20 - 24 years,4.0
2007,Rest of Co. Clare,Male,25 - 29 years,4.0
2007,Rest of Co. Clare,Male,30 - 34 years,3.0
2007,Rest of Co. Clare,Male,35 - 39 years,2.0
2007,Rest of Co. Clare,Male,40 - 44 years,4.0
2007,Rest of Co. Clare,Male,45 - 49 years,7.0
2007,Rest of Co. Clare,Male,50 - 54 years,9.0
2007,Rest of Co. Clare,Male,55 - 59 years,25.0
2007,Rest of Co. Clare,Male,60 - 64 years,26.0
2007,Rest of Co. Clare,Male,65 - 69 years,27.0
2007,Rest of Co. Clare,Male,70 - 74 years,33.0
2007,Rest of Co. Clare,Male,75 - 79 years,47.0
2007,Rest of Co. Clare,Male,80 - 84 years,46.0
2007,Rest of Co. Clare,Male,85 years and over,69.0
2007,Rest of Co. Clare,Male,All ages,313.0
2007,Rest of Co. Clare,Female,Under 1 year,3.0
2007,Rest of Co. Clare,Female,1 - 4 years,0.0
2007,Rest of Co. Clare,Female,5 - 9 years,0.0
2007,Rest of Co. Clare,Female,10 - 14 years,0.0
2007,Rest of Co. Clare,Female,15 - 19 years,0.0
2007,Rest of Co. Clare,Female,20 - 24 years,3.0
2007,Rest of Co. Clare,Female,25 - 29 years,0.0
2007,Rest of Co. Clare,Female,30 - 34 years,2.0
2007,Rest of Co. Clare,Female,35 - 39 years,3.0
2007,Rest of Co. Clare,Female,40 - 44 years,0.0
2007,Rest of Co. Clare,Female,45 - 49 years,5.0
2007,Rest of Co. Clare,Female,50 - 54 years,3.0
2007,Rest of Co. Clare,Female,55 - 59 years,6.0
2007,Rest of Co. Clare,Female,60 - 64 years,17.0
2007,Rest of Co. Clare,Female,65 - 69 years,12.0
2007,Rest of Co. Clare,Female,70 - 74 years,17.0
2007,Rest of Co. Clare,Female,75 - 79 years,34.0
2007,Rest of Co. Clare,Female,80 - 84 years,54.0
2007,Rest of Co. Clare,Female,85 years and over,112.0
2007,Rest of Co. Clare,Female,All ages,271.0
2007,Cork City,Both sexes,Under 1 year,9.0
2007,Cork City,Both sexes,1 - 4 years,1.0
2007,Cork City,Both sexes,5 - 9 years,0.0
2007,Cork City,Both sexes,10 - 14 years,0.0
2007,Cork City,Both sexes,15 - 19 years,2.0
2007,Cork City,Both sexes,20 - 24 years,11.0
2007,Cork City,Both sexes,25 - 29 years,10.0
2007,Cork City,Both sexes,30 - 34 years,14.0
2007,Cork City,Both sexes,35 - 39 years,17.0
2007,Cork City,Both sexes,40 - 44 years,15.0
2007,Cork City,Both sexes,45 - 49 years,30.0
2007,Cork City,Both sexes,50 - 54 years,35.0
2007,Cork City,Both sexes,55 - 59 years,48.0
2007,Cork City,Both sexes,60 - 64 years,64.0
2007,Cork City,Both sexes,65 - 69 years,74.0
2007,Cork City,Both sexes,70 - 74 years,131.0
2007,Cork City,Both sexes,75 - 79 years,175.0
2007,Cork City,Both sexes,80 - 84 years,201.0
2007,Cork City,Both sexes,85 years and over,261.0
2007,Cork City,Both sexes,All ages,1098.0
2007,Cork City,Male,Under 1 year,3.0
2007,Cork City,Male,1 - 4 years,0.0
2007,Cork City,Male,5 - 9 years,0.0
2007,Cork City,Male,10 - 14 years,0.0
2007,Cork City,Male,15 - 19 years,1.0
2007,Cork City,Male,20 - 24 years,9.0
2007,Cork City,Male,25 - 29 years,5.0
2007,Cork City,Male,30 - 34 years,13.0
2007,Cork City,Male,35 - 39 years,13.0
2007,Cork City,Male,40 - 44 years,10.0
2007,Cork City,Male,45 - 49 years,15.0
2007,Cork City,Male,50 - 54 years,24.0
2007,Cork City,Male,55 - 59 years,30.0
2007,Cork City,Male,60 - 64 years,36.0
2007,Cork City,Male,65 - 69 years,53.0
2007,Cork City,Male,70 - 74 years,85.0
2007,Cork City,Male,75 - 79 years,90.0
2007,Cork City,Male,80 - 84 years,95.0
2007,Cork City,Male,85 years and over,84.0
2007,Cork City,Male,All ages,566.0
2007,Cork City,Female,Under 1 year,6.0
2007,Cork City,Female,1 - 4 years,1.0
2007,Cork City,Female,5 - 9 years,0.0
2007,Cork City,Female,10 - 14 years,0.0
2007,Cork City,Female,15 - 19 years,1.0
2007,Cork City,Female,20 - 24 years,2.0
2007,Cork City,Female,25 - 29 years,5.0
2007,Cork City,Female,30 - 34 years,1.0
2007,Cork City,Female,35 - 39 years,4.0
2007,Cork City,Female,40 - 44 years,5.0
2007,Cork City,Female,45 - 49 years,15.0
2007,Cork City,Female,50 - 54 years,11.0
2007,Cork City,Female,55 - 59 years,18.0
2007,Cork City,Female,60 - 64 years,28.0
2007,Cork City,Female,65 - 69 years,21.0
2007,Cork City,Female,70 - 74 years,46.0
2007,Cork City,Female,75 - 79 years,85.0
2007,Cork City,Female,80 - 84 years,106.0
2007,Cork City,Female,85 years and over,177.0
2007,Cork City,Female,All ages,532.0
2007,Cork County,Both sexes,Under 1 year,19.0
2007,Cork County,Both sexes,1 - 4 years,6.0
2007,Cork County,Both sexes,5 - 9 years,3.0
2007,Cork County,Both sexes,10 - 14 years,5.0
2007,Cork County,Both sexes,15 - 19 years,9.0
2007,Cork County,Both sexes,20 - 24 years,16.0
2007,Cork County,Both sexes,25 - 29 years,15.0
2007,Cork County,Both sexes,30 - 34 years,10.0
2007,Cork County,Both sexes,35 - 39 years,25.0
2007,Cork County,Both sexes,40 - 44 years,22.0
2007,Cork County,Both sexes,45 - 49 years,53.0
2007,Cork County,Both sexes,50 - 54 years,62.0
2007,Cork County,Both sexes,55 - 59 years,89.0
2007,Cork County,Both sexes,60 - 64 years,115.0
2007,Cork County,Both sexes,65 - 69 years,145.0
2007,Cork County,Both sexes,70 - 74 years,231.0
2007,Cork County,Both sexes,75 - 79 years,326.0
2007,Cork County,Both sexes,80 - 84 years,353.0
2007,Cork County,Both sexes,85 years and over,623.0
2007,Cork County,Both sexes,All ages,2127.0
2007,Cork County,Male,Under 1 year,7.0
2007,Cork County,Male,1 - 4 years,6.0
2007,Cork County,Male,5 - 9 years,2.0
2007,Cork County,Male,10 - 14 years,4.0
2007,Cork County,Male,15 - 19 years,7.0
2007,Cork County,Male,20 - 24 years,14.0
2007,Cork County,Male,25 - 29 years,13.0
2007,Cork County,Male,30 - 34 years,4.0
2007,Cork County,Male,35 - 39 years,20.0
2007,Cork County,Male,40 - 44 years,12.0
2007,Cork County,Male,45 - 49 years,38.0
2007,Cork County,Male,50 - 54 years,34.0
2007,Cork County,Male,55 - 59 years,48.0
2007,Cork County,Male,60 - 64 years,65.0
2007,Cork County,Male,65 - 69 years,99.0
2007,Cork County,Male,70 - 74 years,133.0
2007,Cork County,Male,75 - 79 years,178.0
2007,Cork County,Male,80 - 84 years,175.0
2007,Cork County,Male,85 years and over,212.0
2007,Cork County,Male,All ages,1071.0
2007,Cork County,Female,Under 1 year,12.0
2007,Cork County,Female,1 - 4 years,0.0
2007,Cork County,Female,5 - 9 years,1.0
2007,Cork County,Female,10 - 14 years,1.0
2007,Cork County,Female,15 - 19 years,2.0
2007,Cork County,Female,20 - 24 years,2.0
2007,Cork County,Female,25 - 29 years,2.0
2007,Cork County,Female,30 - 34 years,6.0
2007,Cork County,Female,35 - 39 years,5.0
2007,Cork County,Female,40 - 44 years,10.0
2007,Cork County,Female,45 - 49 years,15.0
2007,Cork County,Female,50 - 54 years,28.0
2007,Cork County,Female,55 - 59 years,41.0
2007,Cork County,Female,60 - 64 years,50.0
2007,Cork County,Female,65 - 69 years,46.0
2007,Cork County,Female,70 - 74 years,98.0
2007,Cork County,Female,75 - 79 years,148.0
2007,Cork County,Female,80 - 84 years,178.0
2007,Cork County,Female,85 years and over,411.0
2007,Cork County,Female,All ages,1056.0
2007,Cobh Town,Both sexes,Under 1 year,1.0
2007,Cobh Town,Both sexes,1 - 4 years,0.0
2007,Cobh Town,Both sexes,5 - 9 years,0.0
2007,Cobh Town,Both sexes,10 - 14 years,0.0
2007,Cobh Town,Both sexes,15 - 19 years,0.0
2007,Cobh Town,Both sexes,20 - 24 years,1.0
2007,Cobh Town,Both sexes,25 - 29 years,0.0
2007,Cobh Town,Both sexes,30 - 34 years,0.0
2007,Cobh Town,Both sexes,35 - 39 years,2.0
2007,Cobh Town,Both sexes,40 - 44 years,1.0
2007,Cobh Town,Both sexes,45 - 49 years,1.0
2007,Cobh Town,Both sexes,50 - 54 years,2.0
2007,Cobh Town,Both sexes,55 - 59 years,2.0
2007,Cobh Town,Both sexes,60 - 64 years,1.0
2007,Cobh Town,Both sexes,65 - 69 years,3.0
2007,Cobh Town,Both sexes,70 - 74 years,15.0
2007,Cobh Town,Both sexes,75 - 79 years,18.0
2007,Cobh Town,Both sexes,80 - 84 years,12.0
2007,Cobh Town,Both sexes,85 years and over,10.0
2007,Cobh Town,Both sexes,All ages,69.0
2007,Cobh Town,Male,Under 1 year,0.0
2007,Cobh Town,Male,1 - 4 years,0.0
2007,Cobh Town,Male,5 - 9 years,0.0
2007,Cobh Town,Male,10 - 14 years,0.0
2007,Cobh Town,Male,15 - 19 years,0.0
2007,Cobh Town,Male,20 - 24 years,1.0
2007,Cobh Town,Male,25 - 29 years,0.0
2007,Cobh Town,Male,30 - 34 years,0.0
2007,Cobh Town,Male,35 - 39 years,2.0
2007,Cobh Town,Male,40 - 44 years,1.0
2007,Cobh Town,Male,45 - 49 years,1.0
2007,Cobh Town,Male,50 - 54 years,1.0
2007,Cobh Town,Male,55 - 59 years,0.0
2007,Cobh Town,Male,60 - 64 years,1.0
2007,Cobh Town,Male,65 - 69 years,2.0
2007,Cobh Town,Male,70 - 74 years,11.0
2007,Cobh Town,Male,75 - 79 years,9.0
2007,Cobh Town,Male,80 - 84 years,6.0
2007,Cobh Town,Male,85 years and over,2.0
2007,Cobh Town,Male,All ages,37.0
2007,Cobh Town,Female,Under 1 year,1.0
2007,Cobh Town,Female,1 - 4 years,0.0
2007,Cobh Town,Female,5 - 9 years,0.0
2007,Cobh Town,Female,10 - 14 years,0.0
2007,Cobh Town,Female,15 - 19 years,0.0
2007,Cobh Town,Female,20 - 24 years,0.0
2007,Cobh Town,Female,25 - 29 years,0.0
2007,Cobh Town,Female,30 - 34 years,0.0
2007,Cobh Town,Female,35 - 39 years,0.0
2007,Cobh Town,Female,40 - 44 years,0.0
2007,Cobh Town,Female,45 - 49 years,0.0
2007,Cobh Town,Female,50 - 54 years,1.0
2007,Cobh Town,Female,55 - 59 years,2.0
2007,Cobh Town,Female,60 - 64 years,0.0
2007,Cobh Town,Female,65 - 69 years,1.0
2007,Cobh Town,Female,70 - 74 years,4.0
2007,Cobh Town,Female,75 - 79 years,9.0
2007,Cobh Town,Female,80 - 84 years,6.0
2007,Cobh Town,Female,85 years and over,8.0
2007,Cobh Town,Female,All ages,32.0
2007,Fermoy Town,Both sexes,Under 1 year,2.0
2007,Fermoy Town,Both sexes,1 - 4 years,0.0
2007,Fermoy Town,Both sexes,5 - 9 years,0.0
2007,Fermoy Town,Both sexes,10 - 14 years,1.0
2007,Fermoy Town,Both sexes,15 - 19 years,0.0
2007,Fermoy Town,Both sexes,20 - 24 years,0.0
2007,Fermoy Town,Both sexes,25 - 29 years,0.0
2007,Fermoy Town,Both sexes,30 - 34 years,0.0
2007,Fermoy Town,Both sexes,35 - 39 years,0.0
2007,Fermoy Town,Both sexes,40 - 44 years,0.0
2007,Fermoy Town,Both sexes,45 - 49 years,0.0
2007,Fermoy Town,Both sexes,50 - 54 years,3.0
2007,Fermoy Town,Both sexes,55 - 59 years,3.0
2007,Fermoy Town,Both sexes,60 - 64 years,1.0
2007,Fermoy Town,Both sexes,65 - 69 years,6.0
2007,Fermoy Town,Both sexes,70 - 74 years,3.0
2007,Fermoy Town,Both sexes,75 - 79 years,8.0
2007,Fermoy Town,Both sexes,80 - 84 years,11.0
2007,Fermoy Town,Both sexes,85 years and over,18.0
2007,Fermoy Town,Both sexes,All ages,56.0
2007,Fermoy Town,Male,Under 1 year,0.0
2007,Fermoy Town,Male,1 - 4 years,0.0
2007,Fermoy Town,Male,5 - 9 years,0.0
2007,Fermoy Town,Male,10 - 14 years,1.0
2007,Fermoy Town,Male,15 - 19 years,0.0
2007,Fermoy Town,Male,20 - 24 years,0.0
2007,Fermoy Town,Male,25 - 29 years,0.0
2007,Fermoy Town,Male,30 - 34 years,0.0
2007,Fermoy Town,Male,35 - 39 years,0.0
2007,Fermoy Town,Male,40 - 44 years,0.0
2007,Fermoy Town,Male,45 - 49 years,0.0
2007,Fermoy Town,Male,50 - 54 years,2.0
2007,Fermoy Town,Male,55 - 59 years,0.0
2007,Fermoy Town,Male,60 - 64 years,0.0
2007,Fermoy Town,Male,65 - 69 years,4.0
2007,Fermoy Town,Male,70 - 74 years,2.0
2007,Fermoy Town,Male,75 - 79 years,6.0
2007,Fermoy Town,Male,80 - 84 years,4.0
2007,Fermoy Town,Male,85 years and over,5.0
2007,Fermoy Town,Male,All ages,24.0
2007,Fermoy Town,Female,Under 1 year,2.0
2007,Fermoy Town,Female,1 - 4 years,0.0
2007,Fermoy Town,Female,5 - 9 years,0.0
2007,Fermoy Town,Female,10 - 14 years,0.0
2007,Fermoy Town,Female,15 - 19 years,0.0
2007,Fermoy Town,Female,20 - 24 years,0.0
2007,Fermoy Town,Female,25 - 29 years,0.0
2007,Fermoy Town,Female,30 - 34 years,0.0
2007,Fermoy Town,Female,35 - 39 years,0.0
2007,Fermoy Town,Female,40 - 44 years,0.0
2007,Fermoy Town,Female,45 - 49 years,0.0
2007,Fermoy Town,Female,50 - 54 years,1.0
2007,Fermoy Town,Female,55 - 59 years,3.0
2007,Fermoy Town,Female,60 - 64 years,1.0
2007,Fermoy Town,Female,65 - 69 years,2.0
2007,Fermoy Town,Female,70 - 74 years,1.0
2007,Fermoy Town,Female,75 - 79 years,2.0
2007,Fermoy Town,Female,80 - 84 years,7.0
2007,Fermoy Town,Female,85 years and over,13.0
2007,Fermoy Town,Female,All ages,32.0
2007,Kinsale Town,Both sexes,Under 1 year,0.0
2007,Kinsale Town,Both sexes,1 - 4 years,0.0
2007,Kinsale Town,Both sexes,5 - 9 years,0.0
2007,Kinsale Town,Both sexes,10 - 14 years,0.0
2007,Kinsale Town,Both sexes,15 - 19 years,0.0
2007,Kinsale Town,Both sexes,20 - 24 years,0.0
2007,Kinsale Town,Both sexes,25 - 29 years,0.0
2007,Kinsale Town,Both sexes,30 - 34 years,0.0
2007,Kinsale Town,Both sexes,35 - 39 years,1.0
2007,Kinsale Town,Both sexes,40 - 44 years,0.0
2007,Kinsale Town,Both sexes,45 - 49 years,0.0
2007,Kinsale Town,Both sexes,50 - 54 years,0.0
2007,Kinsale Town,Both sexes,55 - 59 years,1.0
2007,Kinsale Town,Both sexes,60 - 64 years,1.0
2007,Kinsale Town,Both sexes,65 - 69 years,2.0
2007,Kinsale Town,Both sexes,70 - 74 years,4.0
2007,Kinsale Town,Both sexes,75 - 79 years,6.0
2007,Kinsale Town,Both sexes,80 - 84 years,4.0
2007,Kinsale Town,Both sexes,85 years and over,12.0
2007,Kinsale Town,Both sexes,All ages,31.0
2007,Kinsale Town,Male,Under 1 year,0.0
2007,Kinsale Town,Male,1 - 4 years,0.0
2007,Kinsale Town,Male,5 - 9 years,0.0
2007,Kinsale Town,Male,10 - 14 years,0.0
2007,Kinsale Town,Male,15 - 19 years,0.0
2007,Kinsale Town,Male,20 - 24 years,0.0
2007,Kinsale Town,Male,25 - 29 years,0.0
2007,Kinsale Town,Male,30 - 34 years,0.0
2007,Kinsale Town,Male,35 - 39 years,1.0
2007,Kinsale Town,Male,40 - 44 years,0.0
2007,Kinsale Town,Male,45 - 49 years,0.0
2007,Kinsale Town,Male,50 - 54 years,0.0
2007,Kinsale Town,Male,55 - 59 years,0.0
2007,Kinsale Town,Male,60 - 64 years,0.0
2007,Kinsale Town,Male,65 - 69 years,2.0
2007,Kinsale Town,Male,70 - 74 years,3.0
2007,Kinsale Town,Male,75 - 79 years,3.0
2007,Kinsale Town,Male,80 - 84 years,2.0
2007,Kinsale Town,Male,85 years and over,3.0
2007,Kinsale Town,Male,All ages,14.0
2007,Kinsale Town,Female,Under 1 year,0.0
2007,Kinsale Town,Female,1 - 4 years,0.0
2007,Kinsale Town,Female,5 - 9 years,0.0
2007,Kinsale Town,Female,10 - 14 years,0.0
2007,Kinsale Town,Female,15 - 19 years,0.0
2007,Kinsale Town,Female,20 - 24 years,0.0
2007,Kinsale Town,Female,25 - 29 years,0.0
2007,Kinsale Town,Female,30 - 34 years,0.0
2007,Kinsale Town,Female,35 - 39 years,0.0
2007,Kinsale Town,Female,40 - 44 years,0.0
2007,Kinsale Town,Female,45 - 49 years,0.0
2007,Kinsale Town,Female,50 - 54 years,0.0
2007,Kinsale Town,Female,55 - 59 years,1.0
2007,Kinsale Town,Female,60 - 64 years,1.0
2007,Kinsale Town,Female,65 - 69 years,0.0
2007,Kinsale Town,Female,70 - 74 years,1.0
2007,Kinsale Town,Female,75 - 79 years,3.0
2007,Kinsale Town,Female,80 - 84 years,2.0
2007,Kinsale Town,Female,85 years and over,9.0
2007,Kinsale Town,Female,All ages,17.0
2007,Midleton Town,Both sexes,Under 1 year,1.0
2007,Midleton Town,Both sexes,1 - 4 years,0.0
2007,Midleton Town,Both sexes,5 - 9 years,0.0
2007,Midleton Town,Both sexes,10 - 14 years,0.0
2007,Midleton Town,Both sexes,15 - 19 years,0.0
2007,Midleton Town,Both sexes,20 - 24 years,0.0
2007,Midleton Town,Both sexes,25 - 29 years,1.0
2007,Midleton Town,Both sexes,30 - 34 years,0.0
2007,Midleton Town,Both sexes,35 - 39 years,0.0
2007,Midleton Town,Both sexes,40 - 44 years,1.0
2007,Midleton Town,Both sexes,45 - 49 years,2.0
2007,Midleton Town,Both sexes,50 - 54 years,0.0
2007,Midleton Town,Both sexes,55 - 59 years,2.0
2007,Midleton Town,Both sexes,60 - 64 years,4.0
2007,Midleton Town,Both sexes,65 - 69 years,2.0
2007,Midleton Town,Both sexes,70 - 74 years,3.0
2007,Midleton Town,Both sexes,75 - 79 years,4.0
2007,Midleton Town,Both sexes,80 - 84 years,5.0
2007,Midleton Town,Both sexes,85 years and over,16.0
2007,Midleton Town,Both sexes,All ages,41.0
2007,Midleton Town,Male,Under 1 year,0.0
2007,Midleton Town,Male,1 - 4 years,0.0
2007,Midleton Town,Male,5 - 9 years,0.0
2007,Midleton Town,Male,10 - 14 years,0.0
2007,Midleton Town,Male,15 - 19 years,0.0
2007,Midleton Town,Male,20 - 24 years,0.0
2007,Midleton Town,Male,25 - 29 years,1.0
2007,Midleton Town,Male,30 - 34 years,0.0
2007,Midleton Town,Male,35 - 39 years,0.0
2007,Midleton Town,Male,40 - 44 years,0.0
2007,Midleton Town,Male,45 - 49 years,2.0
2007,Midleton Town,Male,50 - 54 years,0.0
2007,Midleton Town,Male,55 - 59 years,1.0
2007,Midleton Town,Male,60 - 64 years,0.0
2007,Midleton Town,Male,65 - 69 years,2.0
2007,Midleton Town,Male,70 - 74 years,1.0
2007,Midleton Town,Male,75 - 79 years,1.0
2007,Midleton Town,Male,80 - 84 years,2.0
2007,Midleton Town,Male,85 years and over,5.0
2007,Midleton Town,Male,All ages,15.0
2007,Midleton Town,Female,Under 1 year,1.0
2007,Midleton Town,Female,1 - 4 years,0.0
2007,Midleton Town,Female,5 - 9 years,0.0
2007,Midleton Town,Female,10 - 14 years,0.0
2007,Midleton Town,Female,15 - 19 years,0.0
2007,Midleton Town,Female,20 - 24 years,0.0
2007,Midleton Town,Female,25 - 29 years,0.0
2007,Midleton Town,Female,30 - 34 years,0.0
2007,Midleton Town,Female,35 - 39 years,0.0
2007,Midleton Town,Female,40 - 44 years,1.0
2007,Midleton Town,Female,45 - 49 years,0.0
2007,Midleton Town,Female,50 - 54 years,0.0
2007,Midleton Town,Female,55 - 59 years,1.0
2007,Midleton Town,Female,60 - 64 years,4.0
2007,Midleton Town,Female,65 - 69 years,0.0
2007,Midleton Town,Female,70 - 74 years,2.0
2007,Midleton Town,Female,75 - 79 years,3.0
2007,Midleton Town,Female,80 - 84 years,3.0
2007,Midleton Town,Female,85 years and over,11.0
2007,Midleton Town,Female,All ages,26.0
2007,Youghal Town,Both sexes,Under 1 year,0.0
2007,Youghal Town,Both sexes,1 - 4 years,0.0
2007,Youghal Town,Both sexes,5 - 9 years,0.0
2007,Youghal Town,Both sexes,10 - 14 years,0.0
2007,Youghal Town,Both sexes,15 - 19 years,0.0
2007,Youghal Town,Both sexes,20 - 24 years,0.0
2007,Youghal Town,Both sexes,25 - 29 years,1.0
2007,Youghal Town,Both sexes,30 - 34 years,0.0
2007,Youghal Town,Both sexes,35 - 39 years,0.0
2007,Youghal Town,Both sexes,40 - 44 years,0.0
2007,Youghal Town,Both sexes,45 - 49 years,1.0
2007,Youghal Town,Both sexes,50 - 54 years,3.0
2007,Youghal Town,Both sexes,55 - 59 years,5.0
2007,Youghal Town,Both sexes,60 - 64 years,7.0
2007,Youghal Town,Both sexes,65 - 69 years,3.0
2007,Youghal Town,Both sexes,70 - 74 years,5.0
2007,Youghal Town,Both sexes,75 - 79 years,16.0
2007,Youghal Town,Both sexes,80 - 84 years,9.0
2007,Youghal Town,Both sexes,85 years and over,11.0
2007,Youghal Town,Both sexes,All ages,61.0
2007,Youghal Town,Male,Under 1 year,0.0
2007,Youghal Town,Male,1 - 4 years,0.0
2007,Youghal Town,Male,5 - 9 years,0.0
2007,Youghal Town,Male,10 - 14 years,0.0
2007,Youghal Town,Male,15 - 19 years,0.0
2007,Youghal Town,Male,20 - 24 years,0.0
2007,Youghal Town,Male,25 - 29 years,1.0
2007,Youghal Town,Male,30 - 34 years,0.0
2007,Youghal Town,Male,35 - 39 years,0.0
2007,Youghal Town,Male,40 - 44 years,0.0
2007,Youghal Town,Male,45 - 49 years,0.0
2007,Youghal Town,Male,50 - 54 years,2.0
2007,Youghal Town,Male,55 - 59 years,3.0
2007,Youghal Town,Male,60 - 64 years,4.0
2007,Youghal Town,Male,65 - 69 years,1.0
2007,Youghal Town,Male,70 - 74 years,1.0
2007,Youghal Town,Male,75 - 79 years,11.0
2007,Youghal Town,Male,80 - 84 years,3.0
2007,Youghal Town,Male,85 years and over,6.0
2007,Youghal Town,Male,All ages,32.0
2007,Youghal Town,Female,Under 1 year,0.0
